date,p_flow
2019/1/1,53712
2019/1/2,39119
2019/1/3,36305
2019/1/4,42293
2019/1/5,45420
2019/1/6,40911
2019/1/7,37056
2019/1/8,37626
2019/1/9,38129
2019/1/10,40371
2019/1/11,46798
2019/1/12,51490
2019/1/13,43973
2019/1/14,40705
2019/1/15,42322
2019/1/16,44790
2019/1/17,47265
2019/1/18,50777
2019/1/19,48304
2019/1/20,42532
2019/1/21,40121
2019/1/22,37593
2019/1/23,36716
2019/1/24,36198
2019/1/25,39820
2019/1/26,40864
2019/1/27,38197
2019/1/28,36982
2019/1/29,35131
2019/1/30,34892
2019/1/31,34107
2019/2/1,31930
2019/2/2,27208
2019/2/3,21299
2019/2/4,10921
2019/2/5,13656
2019/2/6,14867
2019/2/7,18648
2019/2/8,20829
2019/2/9,24323
2019/2/10,28867
2019/2/11,29960
2019/2/12,29041
2019/2/13,29649
2019/2/14,32061
2019/2/15,31410
2019/2/16,30917
2019/2/17,26720
2019/2/18,30333
2019/2/19,30100
2019/2/20,34083
2019/2/21,35513
2019/2/22,39492
2019/2/23,43446
2019/2/24,40007
2019/2/25,33375
2019/2/26,33649
2019/2/27,32536
2019/2/28,33412
2019/3/1,42182
2019/3/2,49345
2019/3/3,42832
2019/3/4,32369
2019/3/5,33182
2019/3/6,32218
2019/3/7,29577
2019/3/8,42812
2019/3/9,45836
2019/3/10,44144
2019/3/11,33141
2019/3/12,33195
2019/3/13,31150
2019/3/14,31071
2019/3/15,42132
2019/3/16,46949
2019/3/17,40393
2019/3/18,32011
2019/3/19,33097
2019/3/20,32829
2019/3/21,33985
2019/3/22,44100
2019/3/23,48280
2019/3/24,42682
2019/3/25,32938
2019/3/26,32511
2019/3/27,32370
2019/3/28,32595
2019/3/29,41425
2019/3/30,48747
2019/3/31,41621
2019/4/1,32757
2019/4/2,35888
2019/4/3,48597
2019/4/4,50178
2019/4/5,34843
2019/4/6,33185
2019/4/7,37683
2019/4/8,44891
2019/4/9,36207
2019/4/10,32793
2019/4/11,32621
2019/4/12,42826
2019/4/13,49759
2019/4/14,42691
2019/4/15,32926
2019/4/16,33548
2019/4/17,32653
2019/4/18,35250
2019/4/19,46234
2019/4/20,52474
2019/4/21,43220
2019/4/22,33141
2019/4/23,33286
2019/4/24,32718
2019/4/25,32960
2019/4/26,39730
2019/4/27,43377
2019/4/28,32246
2019/4/29,34225
2019/4/30,50866
2019/5/1,57511
2019/5/2,50564
2019/5/3,48017
2019/5/4,44552
2019/5/5,34127
2019/5/6,31809
2019/5/7,31776
2019/5/8,31215
2019/5/9,31942
2019/5/10,41226
2019/5/11,48491
2019/5/12,43560
2019/5/13,33150
2019/5/14,33512
2019/5/15,33683
2019/5/16,33675
2019/5/17,42157
2019/5/18,49940
2019/5/19,44864
2019/5/20,36532
2019/5/21,33872
2019/5/22,32992
2019/5/23,33125
2019/5/24,41683
2019/5/25,47507
2019/5/26,42672
2019/5/27,33000
2019/5/28,30041
2019/5/29,32408
2019/5/30,31899
2019/5/31,40720
2019/6/1,44933
2019/6/2,43585
2019/6/3,33667
2019/6/4,32719
2019/6/5,33979
2019/6/6,50340
2019/6/7,48977
2019/6/8,43611
2019/6/9,44202
2019/6/10,34769
2019/6/11,33111
2019/6/12,32713
2019/6/13,33713
2019/6/14,40964
2019/6/15,45655
2019/6/16,42364
2019/6/17,35734
2019/6/18,34293
2019/6/19,34120
2019/6/20,34414
2019/6/21,41775
2019/6/22,45686
2019/6/23,38369
2019/6/24,35596
2019/6/25,37070
2019/6/26,36304
2019/6/27,36706
2019/6/28,43924
2019/6/29,46048
2019/6/30,42065
2019/7/1,36265
2019/7/2,36387
2019/7/3,36895
2019/7/4,37545
2019/7/5,43641
2019/7/6,45446
2019/7/7,41153
2019/7/8,39468
2019/7/9,35716
2019/7/10,41044
2019/7/11,39754
2019/7/12,44555
2019/7/13,44391
2019/7/14,40023
2019/7/15,38889
2019/7/16,36924
2019/7/17,35901
2019/7/18,35644
2019/7/19,37387
2019/7/20,37987
2019/7/21,38121
2019/7/22,34744
2019/7/23,33990
2019/7/24,33088
2019/7/25,34083
2019/7/26,37351
2019/7/27,38251
2019/7/28,38244
2019/7/29,34462
2019/7/30,32391
2019/7/31,33862
2019/8/1,32298
2019/8/2,32215
2019/8/3,35117
2019/8/4,35755
2019/8/5,33989
2019/8/6,33684
2019/8/7,36212
2019/8/8,32090
2019/8/9,34259
2019/8/10,35103
2019/8/11,34558
2019/8/12,33117
2019/8/13,31008
2019/8/14,27594
2019/8/15,30807
2019/8/16,33570
2019/8/17,35383
2019/8/18,35332
2019/8/19,33471
2019/8/20,33264
2019/8/21,32865
2019/8/22,33499
2019/8/23,35016
2019/8/24,36604
2019/8/25,37029
2019/8/26,31824
2019/8/27,32662
2019/8/28,33675
2019/8/29,32933
2019/8/30,37907
2019/8/31,39570
2019/9/1,38299
2019/9/2,30040
2019/9/3,29628
2019/9/4,29694
2019/9/5,31069
2019/9/6,40642
2019/9/7,45957
2019/9/8,41559
2019/9/9,29549
2019/9/10,29715
2019/9/11,31066
2019/9/12,44804
2019/9/13,47550
2019/9/14,40627
2019/9/15,41757
2019/9/16,31429
2019/9/17,29828
2019/9/18,33868
2019/9/19,38500
2019/9/20,40255
2019/9/21,45410
2019/9/22,43872
2019/9/23,31613
2019/9/24,32393
2019/9/25,29353
2019/9/26,28560
2019/9/27,33648
2019/9/28,39096
2019/9/29,34692
2019/9/30,46492
2019/10/1,51976
2019/10/2,43211
2019/10/3,40246
2019/10/4,38705
2019/10/5,39255
2019/10/6,41292
2019/10/7,40389
2019/10/8,30075
2019/10/9,27608
2019/10/10,26694
2019/10/11,28761
2019/10/12,33564
2019/10/13,37407
2019/10/14,25714
2019/10/15,27579
2019/10/16,27365
2019/10/17,27644
2019/10/18,36034
2019/10/19,42957
2019/10/20,37968
2019/10/21,26954
2019/10/22,27401
2019/10/23,27177
2019/10/24,30267
2019/10/25,40845
2019/10/26,48223
2019/10/27,44303
2019/10/28,30051
2019/10/29,28610
2019/10/30,28089
2019/10/31,28155
2019/11/1,40021
2019/11/2,51845
2019/11/3,42831
2019/11/4,29119
2019/11/5,28738
2019/11/6,28215
2019/11/7,29109
2019/11/8,39605
2019/11/9,46522
2019/11/10,41067
2019/11/11,29877
2019/11/12,27848
2019/11/13,27539
2019/11/14,30397
2019/11/15,39355
2019/11/16,45615
2019/11/17,40389
2019/11/18,29269
2019/11/19,29975
2019/11/20,29206
2019/11/21,29249
2019/11/22,36937
2019/11/23,45897
2019/11/24,40754
2019/11/25,29207
2019/11/26,28324
2019/11/27,29258
2019/11/28,31249
2019/11/29,40156
2019/11/30,47550
2019/12/1,44153
2019/12/2,32180
2019/12/3,30699
2019/12/4,29862
2019/12/5,30604
2019/12/6,38513
2019/12/7,45650
2019/12/8,39609
2019/12/9,29906
2019/12/10,30141
2019/12/11,29714
2019/12/12,28420
2019/12/13,34872
2019/12/14,41093
2019/12/15,37212
2019/12/16,28145
2019/12/17,27626
2019/12/18,27802
2019/12/19,28823
2019/12/20,37863
2019/12/21,41412
2019/12/22,40068
2019/12/23,30904
2019/12/24,30865
2019/12/25,30683
2019/12/26,28203
2019/12/27,35670
2019/12/28,42050
2019/12/29,36825
2019/12/30,30175
2019/12/31,44454
