date,weekday,top_temp,bot_temp,weather_,wind_,air
2019/1/1,星期二,7℃,5℃,阴,东北风 3级,优
2019/1/2,星期三,14℃,8℃,阴,东北风 3级,优
2019/1/3,星期四,9℃,8℃,小雨,东北风 3级,优
2019/1/4,星期五,11℃,10℃,小雨,东北风 2级,优
2019/1/5,星期六,13℃,11℃,小雨,东北风 2级,优
2019/1/6,星期日,11℃,9℃,小雨,东北风 2级,优
2019/1/7,星期一,12℃,9℃,小雨,东北风 2级,优
2019/1/8,星期二,10℃,8℃,小雨,东北风 3级,优
2019/1/9,星期三,9℃,8℃,小雨,东北风 1级,优
2019/1/10,星期四,11℃,10℃,小雨,东北风 1级,优
2019/1/11,星期五,13℃,11℃,小雨,东南风 3级,优
2019/1/12,星期六,14℃,12℃,阴,东南风 2级,良
2019/1/13,星期日,15℃,13℃,雾,东北风 2级,良
2019/1/14,星期一,15℃,11℃,雾,东北风 2级,优
2019/1/15,星期二,11℃,8℃,小雨,东北风 4级,优
2019/1/16,星期三,9℃,6℃,小雨,东北风 3级,优
2019/1/17,星期四,12℃,9℃,多云,东北风 3级,优
2019/1/18,星期五,18℃,13℃,阴,东北风 1级,轻度污染
2019/1/19,星期六,17℃,12℃,阴,东南风 1级,良
2019/1/20,星期日,16℃,9℃,小雨,东北风 3级,优
2019/1/21,星期一,14℃,8℃,阴,东北风 2级,良
2019/1/22,星期二,18℃,8℃,多云,东北风 2级,良
2019/1/23,星期三,15℃,11℃,多云,东北风 1级,轻度污染
2019/1/24,星期四,18℃,13℃,阴,东南风 3级,良
2019/1/25,星期五,21℃,14℃,阴,东北风 2级,中度污染
2019/1/26,星期六,21℃,13℃,多云,东北风 3级,轻度污染
2019/1/27,星期日,22℃,11℃,多云,东北风 2级,良
2019/1/28,星期一,24℃,16℃,多云,东南风 3级,良
2019/1/29,星期二,22℃,17℃,阴,东南风 2级,良
2019/1/30,星期三,23℃,16℃,多云,西北风 2级,优
2019/1/31,星期四,20℃,13℃,阴,东北风 3级,优
2019/2/1,星期五,19℃,14℃,多云,东南风 3级,良
2019/2/2,星期六,22℃,16℃,阴,东南风 3级,优
2019/2/3,星期日,25℃,16℃,雾,东北风 2级,良
2019/2/4,星期一,24℃,17℃,阴,东南风 3级,良
2019/2/5,星期二,25℃,16℃,阴,东北风 3级,轻度污染
2019/2/6,星期三,27℃,19℃,多云,东南风 5级,优
2019/2/7,星期四,30℃,19℃,阴,东南风 4级,优
2019/2/8,星期五,29℃,18℃,阴,西南风 4级,优
2019/2/9,星期六,20℃,13℃,阴,东北风 3级,良
2019/2/10,星期日,14℃,9℃,阴,东北风 4级,良
2019/2/11,星期一,9℃,7℃,阴,东北风 2级,优
2019/2/12,星期二,11℃,9℃,阴,东南风 2级,良
2019/2/13,星期三,17℃,16℃,阴,东北风 3级,良
2019/2/14,星期四,17℃,14℃,阴,东南风 3级,良
2019/2/15,星期五,18℃,15℃,阴,东北风 2级,优
2019/2/16,星期六,14℃,10℃,阴,东南风 4级,优
2019/2/17,星期日,9℃,8℃,阴,东北风 3级,优
2019/2/18,星期一,15℃,9℃,阴,东北风 3级,优
2019/2/19,星期二,14℃,12℃,阴,东北风 3级,优
2019/2/20,星期三,22℃,13℃,阴,东北风 3级,良
2019/2/21,星期四,14℃,11℃,阴,东北风 3级,优
2019/2/22,星期五,14℃,10℃,阴,东北风 3级,良
2019/2/23,星期六,11℃,9℃,阴,东北风 4级,优
2019/2/24,星期日,15℃,10℃,阴,东南风 2级,优
2019/2/25,星期一,14℃,12℃,阴,东北风 3级,良
2019/2/26,星期二,15℃,13℃,阴,东北风 3级,优
2019/2/27,星期三,17℃,14℃,阴,东北风 2级,优
2019/2/28,星期四,16℃,14℃,雾,东北风 2级,良
2019/3/1,星期五,20℃,18℃,阴,东南风 3级,良
2019/3/2,星期六,25℃,15℃,阴,东南风 3级,优
2019/3/3,星期日,23℃,15℃,阴,东北风 4级,优
2019/3/4,星期一,19℃,16℃,阴,东北风 2级,轻度污染
2019/3/5,星期二,26℃,15℃,阴,东北风 3级,优
2019/3/6,星期三,16℃,12℃,阴,东北风 3级,优
2019/3/7,星期四,13℃,12℃,阴,东北风 1级,优
